worker_id,output_id,annotation_range
A2P3XETFFG5K7J,B5-025,4
A2P3XETFFG5K7J,B5-056,1
A2P3XETFFG5K7J,B4o-029,1
A3240Z3SG99X06,B5-074,5
A3240Z3SG99X06,B4o-063,4
A3240Z3SG99X06,B4o-079,2
A3240Z3SG99X06,BD-003,1
A3240Z3SG99X06,BD-017,1
A3240Z3SG99X06,BD-076,5
A3240Z3SG99X06,B4o-087,4
A3240Z3SG99X06,B4o-021,4
A3240Z3SG99X06,B5-076,5
A3240Z3SG99X06,B4o-057,3
A3240Z3SG99X06,BD-051,1
A3240Z3SG99X06,B5-008,3
A3240Z3SG99X06,B5-037,2
A3240Z3SG99X06,B5-003,4
A3240Z3SG99X06,B5-086,2
A3240Z3SG99X06,BD-082,4
A3240Z3SG99X06,B5-043,2
A3240Z3SG99X06,BD-028,2
A17QWRCEPG0775,B4o-006,1
A17QWRCEPG0775,BD-096,4
A17QWRCEPG0775,BD-073,5
A17QWRCEPG0775,BD-008,1
A17QWRCEPG0775,B5-099,1
A17QWRCEPG0775,BD-002,1
A3240Z3SG99X06,B5-063,5
A3240Z3SG99X06,B5-064,1
A3240Z3SG99X06,BD-023,1
A3240Z3SG99X06,B4o-084,2
A3240Z3SG99X06,B5-039,5
A3240Z3SG99X06,B5-044,1
